=========================================
== CST Matrix Calculation Priority Log ==
=========================================
Priorities are sorted in ascending order beginning with the lowest priority
 
Group | Shape-ID | ShapeName | Material | User-priority | 2D/3D-Geometry | Material-attributes | Shape-attributes | Feature-ID | Schemetype
1 | 1912 | </cst/Boundaries/> Low^X | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 1913 | </cst/Boundaries/> Low^Y | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 1914 | </cst/Boundaries/> Low^Z | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 1915 | </cst/Boundaries/> Up^X | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 1916 | </cst/Boundaries/> Up^Y | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 1917 | </cst/Boundaries/> Up^Z | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
2 | 1910 | </cst/Ports/> 1^t0 | Antena(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | edge-element.wire. | n/a | FIT_TD
2 | 1911 | </cst/Ports/> 1^t1 | Antena(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | edge-element.wire. | n/a | FIT_TD
3 | 4 | Antena(PCB1)/Substrates:01_SOLDER_MASK_TOP | Antena(PCB1)/FR4 | n/a | yes | dispersive-mue.normal.rho. | solid. | n/a | FIT_TD
3 | 5 | Antena(PCB1)/Substrates:03_DIELECTRIC_1 | Antena(PCB1)/FR4 | n/a | yes | dispersive-mue.normal.rho. | solid. | n/a | FIT_TD
3 | 6 | Antena(PCB1)/Substrates:05_SOLDER_MASK_BOTTOM | Antena(PCB1)/FR4 | n/a | yes | dispersive-mue.normal.rho. | solid. | n/a | FIT_TD
4 | 1 | Antena(PCB1)/Nets/NONE:02_TOP_LAYER | Antena(PCB1)/Copper | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
4 | 2 | Antena(PCB1)/Nets/NONE:04_BOTTOM_LAYER | Antena(PCB1)/Copper | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
4 | 3 | Antena(PCB1)/Nets/NONE:VIA_TOP_LAYER_BOTTOM_LAYER | Antena(PCB1)/VIAS_MATERIAL | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
4 | 10 | Antena(PCB1)/Nets/NONE:VIA_TOP_LAYER_BOTTOM_LAYER (Lump 2) | Antena(PCB1)/VIAS_MATERIAL | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
4 | 11 | Antena(PCB1)/Nets/NONE:VIA_TOP_LAYER_BOTTOM_LAYER (Lump 3) | Antena(PCB1)/VIAS_MATERIAL | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
4 | 12 | Antena(PCB1)/Nets/NONE:VIA_TOP_LAYER_BOTTOM_LAYER (Lump 4) | Antena(PCB1)/VIAS_MATERIAL | n/a | yes | pec.rho.surface-impedance. | solid. | n/a | FIT_TD
