=========================================
== CST Matrix Calculation Priority Log ==
=========================================
Priorities are sorted in ascending order beginning with the lowest priority
 
Group | Shape-ID | ShapeName | Material | User-priority | 2D/3D-Geometry | Material-attributes | Shape-attributes | Feature-ID | Schemetype
1 | 356 | </cst/Boundaries/> Low^X | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 357 | </cst/Boundaries/> Low^Y | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 358 | </cst/Boundaries/> Low^Z | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 359 | </cst/Boundaries/> Up^X | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 360 | </cst/Boundaries/> Up^Y | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
1 | 361 | </cst/Boundaries/> Up^Z | $NFSMaterial$ | n/a | no | normal.vacuum. | boundary. | n/a | FIT_TD
2 | 354 | </cst/Ports/> 1^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | edge-element.wire. | n/a | FIT_TD
2 | 355 | </cst/Ports/> 1^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | edge-element.wire. | n/a | FIT_TD
3 | 364 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C10^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 365 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C10^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 366 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C11^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 367 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C11^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 368 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C12^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 369 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C12^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 370 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C13^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 371 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C13^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 372 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C14^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 373 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C14^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 374 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C15^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 375 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C15^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 376 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C16^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 377 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C16^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 378 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C17^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 379 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C17^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 380 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C18^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 381 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C18^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 382 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C19^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 383 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C19^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 362 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C1^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 363 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C1^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 386 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C20^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 387 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C20^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 388 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C21^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 389 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C21^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 384 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C2^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 385 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C2^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 390 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C3^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 391 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C3^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 392 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C4^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 393 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C4^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 394 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C5^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 395 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C5^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 396 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C6^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 397 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C6^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 398 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C7^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 399 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C7^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 400 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C8^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 401 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C8^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 402 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C9^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 403 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):C9^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 404 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):L1^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 405 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):L1^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 406 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):L2^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 407 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):L2^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 408 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):L3^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 409 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):L3^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 410 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):L4^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 411 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):L4^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 414 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):R12^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 415 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):R12^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 416 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):R13^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 417 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):R13^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 412 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):R1^t0 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
3 | 413 | </cst/Lumped Elements/> discrete_face_port:EFR32_0(PCB1):R1^t1 | EFR32_0(PCB1)/Copper | n/a | no | pec.rho.surface-impedance. | face-element.face-port.lumped-element.sheet. | n/a | FIT_TD
